TimeStep,Field_U_Center,MaxDeviation_U,StepDuration
-1,1.0,0.0,0.0
0,11.000000,10.000000,0.0
1,10.400000,9.400000,0.025941
2,9.842000,8.842000,0.022686
3,9.322760,8.322760,0.022689
4,8.839308,7.839308,0.024883
5,8.388917,7.388917,0.025914
6,7.969084,6.969084,0.024769
7,7.577509,6.577509,0.025520
8,7.212079,6.212079,0.022769
9,6.870852,5.870852,0.023020
10,6.552041,5.552041,0.022947
11,6.254002,5.254002,0.022631
12,5.975222,4.975222,0.022742
13,5.714306,4.714306,0.022626
14,5.469970,4.469970,0.022651
15,5.241031,4.241031,0.022815
16,5.026395,4.026395,0.023867
17,4.825055,3.825055,0.023581
18,4.636081,3.636081,0.023040
19,4.458613,3.458613,0.022694
20,4.291858,3.291858,0.022848
21,4.135080,3.135080,0.022745
22,3.987602,2.987602,0.022761
23,3.848794,2.848794,0.025530
24,3.718074,2.718074,0.025324
25,3.594905,2.594905,0.024279
26,3.478786,2.478786,0.022648
27,3.369254,2.369254,0.022660
28,3.265880,2.265880,0.023443
29,3.168265,2.168265,0.023265
30,3.076039,2.076039,0.022650
31,2.988859,1.988859,0.022634
32,2.906405,1.906405,0.022622
33,2.828380,1.828380,0.022624
34,2.754507,1.754507,0.022642
35,2.684530,1.684530,0.022666
36,2.618208,1.618208,0.022664
37,2.555320,1.555320,0.022672
38,2.495656,1.495656,0.022678
39,2.439024,1.439024,0.024078
40,2.385243,1.385243,0.022707
41,2.334143,1.334143,0.023115
42,2.285568,1.285568,0.023491
43,2.239369,1.239369,0.023257
44,2.195410,1.195410,0.022964
45,2.153562,1.153562,0.022800
46,2.113704,1.113704,0.022768
47,2.075724,1.075724,0.023695
48,2.039518,1.039518,0.023037
49,2.004985,1.004985,0.022908
50,1.972034,0.972034,0.023053
51,1.940577,0.940577,0.023066
52,1.910534,0.910534,0.022945
53,1.881828,0.881828,0.023970
54,1.854387,0.854387,0.022657
55,1.828145,0.828145,0.022720
56,1.803038,0.803038,0.023773
57,1.779006,0.779006,0.022647
58,1.755994,0.755994,0.022821
59,1.733950,0.733950,0.022982
60,1.712823,0.712823,0.023026
61,1.692567,0.692567,0.023051
62,1.673138,0.673138,0.023221
63,1.654496,0.654496,0.023017
64,1.636600,0.636600,0.023946
65,1.619415,0.619415,0.025063
66,1.602905,0.602905,0.022890
67,1.587039,0.587039,0.023465
68,1.571784,0.571784,0.022595
69,1.557112,0.557112,0.022763
70,1.542995,0.542995,0.022652
71,1.529407,0.529407,0.025753
72,1.516324,0.516324,0.022722
73,1.503722,0.503722,0.022698
74,1.491579,0.491579,0.022665
75,1.479875,0.479875,0.022616
76,1.468588,0.468588,0.023556
77,1.457702,0.457702,0.022864
78,1.447197,0.447197,0.022725
79,1.437057,0.437057,0.022992
80,1.427267,0.427267,0.023074
81,1.417810,0.417810,0.023005
82,1.408673,0.408673,0.022916
83,1.399841,0.399841,0.022784
84,1.391303,0.391303,0.024913
85,1.383044,0.383044,0.027196
86,1.375055,0.375055,0.023715
87,1.367323,0.367323,0.023413
88,1.359838,0.359838,0.023183
89,1.352590,0.352590,0.023280
90,1.345569,0.345569,0.023112
91,1.338766,0.338766,0.023796
92,1.332173,0.332173,0.022922
93,1.325781,0.325781,0.023134
94,1.319582,0.319582,0.023581
95,1.313569,0.313569,0.022873
96,1.307734,0.307734,0.022749
97,1.302070,0.302070,0.022667
98,1.296572,0.296572,0.022740
99,1.291233,0.291233,0.023494
100,1.286046,0.286046,0.022672
