LoadScale,Threads,BaseTime(s),ElapsedTime(s),Efficiency
1,1,0.190461,0.190461,1.000000
1,2,0.190461,0.097325,0.978479
1,4,0.190461,0.052927,0.899640
1,8,0.190461,0.029039,0.819850
1,16,0.190461,0.017892,0.665315
1,32,0.190461,0.011658,0.510543
1,64,0.190461,0.012040,0.247172
2,1,0.374427,0.374427,1.000000
2,2,0.374427,0.233405,0.802097
2,4,0.374427,0.123929,0.755326
2,8,0.374427,0.064120,0.729934
2,16,0.374427,0.034108,0.686105
2,32,0.374427,0.021327,0.548640
2,64,0.374427,0.019848,0.294761
4,1,0.754975,0.754975,1.000000
4,2,0.754975,0.419729,0.899360
4,4,0.754975,0.238532,0.791272
4,8,0.754975,0.121115,0.779192
4,16,0.754975,0.062754,0.751919
4,32,0.754975,0.037226,0.633777
4,64,0.754975,0.035086,0.336216
8,1,1.506254,1.506254,1.000000
8,2,1.506254,0.795288,0.946986
8,4,1.506254,0.425793,0.884382
8,8,1.506254,0.239026,0.787704
8,16,1.506254,0.125105,0.752495
8,32,1.506254,0.101540,0.463565
8,64,1.506254,0.143993,0.163447
16,1,3.004930,3.004930,1.000000
16,2,3.004930,1.553523,0.967134
16,4,3.004930,0.805643,0.932463
16,8,3.004930,0.429822,0.873888
16,16,3.004930,0.320241,0.586459
16,32,3.004930,0.198870,0.472188
16,64,3.004930,0.127196,0.369131
32,1,6.015885,6.015885,1.000000
32,2,6.015885,3.036836,0.990486
32,4,6.015885,1.540543,0.976260
32,8,6.015885,0.783627,0.959622
32,16,6.015885,0.494035,0.761065
32,32,6.015885,0.390038,0.481995
32,64,6.015885,0.243526,0.385988
64,1,12.062659,12.062659,1.000000
64,2,12.062659,6.027361,1.000658
64,4,12.062659,3.035699,0.993401
64,8,12.062659,1.574932,0.957395
64,16,12.062659,0.908696,0.829668
64,32,12.062659,0.767161,0.491368
64,64,12.062659,0.457519,0.411959
