Testing on 2 MPI processes.
---------------------------------------------------------------------
Matrix Dim | Comp Time (s) | Comm Time (s) | Total Time (s) (Rank 0)
---------------------------------------------------------------------
1000       | 0.001991      | 0.005397      | 0.007390         
2000       | 0.007951      | 0.012140      | 0.020093         
4000       | 0.031962      | 0.029463      | 0.061432         
8000       | 0.128858      | 0.090470      | 0.219335         
10000      | 0.199743      | 0.133013      | 0.332762         

Testing on 4 MPI processes.
---------------------------------------------------------------------
Matrix Dim | Comp Time (s) | Comm Time (s) | Total Time (s) (Rank 0)
---------------------------------------------------------------------
1000       | 0.001002      | 0.007549      | 0.008553         
2000       | 0.004002      | 0.019909      | 0.023914         
4000       | 0.016593      | 0.036241      | 0.052839         
8000       | 0.066139      | 0.111487      | 0.177636         
10000      | 0.103618      | 0.148462      | 0.252090             

Testing on 5 MPI processes.
---------------------------------------------------------------------
Matrix Dim | Comp Time (s) | Comm Time (s) | Total Time (s) (Rank 0)
---------------------------------------------------------------------
1000       | 0.001852      | 0.008630      | 0.010485         
2000       | 0.004598      | 0.023943      | 0.028544         
4000       | 0.020274      | 0.047942      | 0.068223         
8000       | 0.063017      | 0.182449      | 0.245484         
10000      | 0.102004      | 0.194053      | 0.296066         

Testing on 8 MPI processes.
---------------------------------------------------------------------
Matrix Dim | Comp Time (s) | Comm Time (s) | Total Time (s) (Rank 0)
---------------------------------------------------------------------
1000       | 0.000888      | 0.008598      | 0.009490         
2000       | 0.002901      | 0.022166      | 0.025070         
4000       | 0.012769      | 0.039593      | 0.052367         
8000       | 0.035498      | 0.105951      | 0.141496         
10000      | 0.050966      | 0.178962      | 0.229939         

Testing on 10 MPI processes.
---------------------------------------------------------------------
Matrix Dim | Comp Time (s) | Comm Time (s) | Total Time (s) (Rank 0)
---------------------------------------------------------------------
1000       | 0.000453      | 0.008608      | 0.009070         
2000       | 0.002246      | 0.018211      | 0.020465         
4000       | 0.008213      | 0.047782      | 0.056026         
8000       | 0.028409      | 0.143693      | 0.172138         
10000      | 0.044146      | 0.269097      | 0.313371     
